date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:21:04	2327/2327	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Nov%202025%2002:21:03%20GMT	https://www.kodub.com/apps/polytrack	C:/My%20Web%20Sites/polytrack/www.kodub.com/apps/polytrack.html	(from )
22:21:05	72/72	---M-Z	200	added ('OK')	text/plain	etag:%224a-5e2e7bafcb680-gzip%22	https://www.kodub.com/robots.txt		(from )
22:21:05	31933/31933	---M--	200	added ('OK')	image/jpeg	etag:%227cbd-632389a90c440%22	https://www.kodub.com/apps/polytrack/image	C:/My%20Web%20Sites/polytrack/www.kodub.com/apps/polytrack/image.jpg	(from https://www.kodub.com/apps/polytrack)
22:21:05	309/309	---M-Z	200	added ('OK')	text/css	etag:%22135-61eb6b96be100-gzip%22	https://www.kodub.com/css/app.css	C:/My%20Web%20Sites/polytrack/www.kodub.com/css/app.css	(from https://www.kodub.com/apps/polytrack)
22:21:05	409/409	---M--	200	added ('OK')	image/png	etag:%22199-5e2b0f66ccc00%22	https://www.kodub.com/favicon/favicon-16x16.png	C:/My%20Web%20Sites/polytrack/www.kodub.com/favicon/favicon-16x16.png	(from https://www.kodub.com/apps/polytrack)
22:21:06	1097/1097	---M--	200	added ('OK')	image/png	etag:%22449-5e2b0f8274d40%22	https://www.kodub.com/favicon/favicon-32x32.png	C:/My%20Web%20Sites/polytrack/www.kodub.com/favicon/favicon-32x32.png	(from https://www.kodub.com/apps/polytrack)
22:21:06	1925/1925	---M--	200	added ('OK')	image/png	etag:%22785-5e2b0f9a4c580%22	https://www.kodub.com/favicon/favicon-48x48.png	C:/My%20Web%20Sites/polytrack/www.kodub.com/favicon/favicon-48x48.png	(from https://www.kodub.com/apps/polytrack)
22:21:06	10748/10748	---M--	200	added ('OK')	image/png	etag:%2229fc-5e2b0fb223dc0%22	https://www.kodub.com/favicon/favicon-192x192.png	C:/My%20Web%20Sites/polytrack/www.kodub.com/favicon/favicon-192x192.png	(from https://www.kodub.com/apps/polytrack)
22:21:06	8801/8801	---M--	200	added ('OK')	image/png	etag:%222261-5e2b1032e2d80%22	https://www.kodub.com/favicon/favicon-167x167.png	C:/My%20Web%20Sites/polytrack/www.kodub.com/favicon/favicon-167x167.png	(from https://www.kodub.com/apps/polytrack)
22:21:06	9650/9650	---M--	200	added ('OK')	image/png	etag:%2225b2-5e2b1047ddf00%22	https://www.kodub.com/favicon/favicon-180x180.png	C:/My%20Web%20Sites/polytrack/www.kodub.com/favicon/favicon-180x180.png	(from https://www.kodub.com/apps/polytrack)
